,train_ACC,train_F1,train_Recall,train_Pre,train_MCC,val_ACC,val_F1,val_Recall,val_Pre,val_MCC,test_ACC,test_F1,test_Recall,test_Pre,test_MCC
n_estimators20 max_depth8 min_samples_leaf5 min_samples_split3 bootstrapTrue,0.9803 (0.00089),0.9802 (0.00090),0.9781 (0.00165),0.9824 (0.00142),0.9606 (0.00179),0.9665 (0.00105),0.9665 (0.00104),0.9664 (0.00233),0.9666 (0.00251),0.9331 (0.00210),0.9657 (0.00126),0.9656 (0.00126),0.9621 (0.00241),0.9691 (0.00253),0.9314 (0.00253)
n_estimators20 max_depth8 min_samples_leaf5 min_samples_split5 bootstrapFalse,0.9854 (0.00021),0.9854 (0.00022),0.9829 (0.00085),0.9878 (0.00049),0.9708 (0.00042),0.9690 (0.00084),0.9690 (0.00081),0.9710 (0.00074),0.9671 (0.00188),0.9380 (0.00168),0.9669 (0.00061),0.9668 (0.00055),0.9629 (0.00149),0.9707 (0.00258),0.9339 (0.00126)
n_estimators20 max_depth8 min_samples_leaf5 min_samples_split5 bootstrapTrue,0.9801 (0.00098),0.9801 (0.00098),0.9781 (0.00145),0.9820 (0.00151),0.9602 (0.00195),0.9667 (0.00174),0.9667 (0.00173),0.9663 (0.00288),0.9672 (0.00315),0.9335 (0.00348),0.9658 (0.00146),0.9657 (0.00146),0.9626 (0.00210),0.9688 (0.00222),0.9316 (0.00293)
n_estimators500 max_depth10 min_samples_leaf1 min_samples_split2 bootstrapFalse,0.9972 (0.00000),0.9972 (0.00000),0.9954 (0.00037),0.9989 (0.00037),0.9943 (0.00000),0.9700 (0.00120),0.9700 (0.00117),0.9706 (0.00074),0.9694 (0.00223),0.9399 (0.00240),0.9691 (0.00067),0.9690 (0.00063),0.9672 (0.00073),0.9709 (0.00200),0.9382 (0.00135)
n_estimators500 max_depth10 min_samples_leaf1 min_samples_split2 bootstrapTrue,0.9952 (0.00050),0.9952 (0.00050),0.9927 (0.00058),0.9978 (0.00054),0.9905 (0.00101),0.9706 (0.00124),0.9707 (0.00121),0.9715 (0.00113),0.9699 (0.00250),0.9413 (0.00248),0.9690 (0.00049),0.9690 (0.00048),0.9673 (0.00120),0.9706 (0.00139),0.9380 (0.00098)
n_estimators500 max_depth10 min_samples_leaf1 min_samples_split3 bootstrapFalse,0.9972 (0.00014),0.9972 (0.00014),0.9958 (0.00049),0.9986 (0.00028),0.9944 (0.00028),0.9701 (0.00123),0.9701 (0.00119),0.9708 (0.00000),0.9694 (0.00238),0.9401 (0.00245),0.9694 (0.00021),0.9694 (0.00021),0.9676 (0.00074),0.9712 (0.00074),0.9388 (0.00042)
n_estimators500 max_depth10 min_samples_leaf1 min_samples_split3 bootstrapTrue,0.9948 (0.00064),0.9948 (0.00064),0.9922 (0.00073),0.9974 (0.00071),0.9896 (0.00128),0.9704 (0.00139),0.9704 (0.00136),0.9711 (0.00101),0.9696 (0.00253),0.9407 (0.00278),0.9689 (0.00065),0.9688 (0.00065),0.9670 (0.00117),0.9707 (0.00137),0.9378 (0.00131)
n_estimators500 max_depth10 min_samples_leaf1 min_samples_split5 bootstrapFalse,0.9966 (0.00012),0.9966 (0.00012),0.9948 (0.00051),0.9983 (0.00037),0.9931 (0.00024),0.9705 (0.00127),0.9705 (0.00125),0.9712 (0.00113),0.9698 (0.00213),0.9409 (0.00253),0.9701 (0.00028),0.9700 (0.00026),0.9680 (0.00070),0.9720 (0.00105),0.9401 (0.00057)
n_estimators500 max_depth10 min_samples_leaf1 min_samples_split5 bootstrapTrue,0.9939 (0.00063),0.9939 (0.00063),0.9914 (0.00077),0.9964 (0.00066),0.9879 (0.00126),0.9705 (0.00144),0.9705 (0.00141),0.9715 (0.00115),0.9695 (0.00260),0.9409 (0.00288),0.9688 (0.00060),0.9688 (0.00059),0.9675 (0.00129),0.9701 (0.00156),0.9377 (0.00120)
n_estimators500 max_depth10 min_samples_leaf2 min_samples_split2 bootstrapFalse,0.9964 (0.00021),0.9964 (0.00021),0.9943 (0.00024),0.9985 (0.00024),0.9929 (0.00042),0.9706 (0.00051),0.9706 (0.00050),0.9708 (0.00084),0.9704 (0.00108),0.9411 (0.00101),0.9691 (0.00021),0.9691 (0.00019),0.9679 (0.00098),0.9703 (0.00119),0.9383 (0.00042)
n_estimators500 max_depth10 min_samples_leaf2 min_samples_split2 bootstrapTrue,0.9930 (0.00054),0.9930 (0.00054),0.9906 (0.00073),0.9954 (0.00050),0.9860 (0.00108),0.9702 (0.00138),0.9702 (0.00136),0.9712 (0.00128),0.9691 (0.00237),0.9403 (0.00277),0.9688 (0.00067),0.9688 (0.00068),0.9674 (0.00156),0.9702 (0.00135),0.9377 (0.00134)
n_estimators500 max_depth10 min_samples_leaf2 min_samples_split3 bootstrapFalse,0.9964 (0.00021),0.9964 (0.00021),0.9943 (0.00024),0.9985 (0.00024),0.9929 (0.00042),0.9706 (0.00051),0.9706 (0.00050),0.9708 (0.00084),0.9704 (0.00108),0.9411 (0.00101),0.9691 (0.00021),0.9691 (0.00019),0.9679 (0.00098),0.9703 (0.00119),0.9383 (0.00042)
n_estimators500 max_depth10 min_samples_leaf2 min_samples_split3 bootstrapTrue,0.9929 (0.00069),0.9929 (0.00069),0.9905 (0.00099),0.9953 (0.00054),0.9858 (0.00138),0.9702 (0.00127),0.9703 (0.00124),0.9712 (0.00102),0.9693 (0.00248),0.9405 (0.00254),0.9689 (0.00056),0.9689 (0.00056),0.9673 (0.00134),0.9704 (0.00136),0.9379 (0.00112)
n_estimators500 max_depth10 min_samples_leaf2 min_samples_split5 bootstrapFalse,0.9961 (0.00024),0.9961 (0.00024),0.9942 (0.00028),0.9980 (0.00056),0.9923 (0.00049),0.9700 (0.00123),0.9700 (0.00119),0.9706 (0.00028),0.9694 (0.00242),0.9399 (0.00245),0.9694 (0.00061),0.9694 (0.00060),0.9683 (0.00051),0.9705 (0.00117),0.9388 (0.00122)
n_estimators500 max_depth10 min_samples_leaf2 min_samples_split5 bootstrapTrue,0.9923 (0.00044),0.9923 (0.00045),0.9902 (0.00076),0.9944 (0.00040),0.9846 (0.00089),0.9701 (0.00125),0.9702 (0.00123),0.9713 (0.00121),0.9690 (0.00221),0.9402 (0.00251),0.9689 (0.00046),0.9689 (0.00045),0.9676 (0.00141),0.9702 (0.00154),0.9379 (0.00091)
n_estimators500 max_depth10 min_samples_leaf5 min_samples_split2 bootstrapFalse,0.9922 (0.00025),0.9922 (0.00025),0.9907 (0.00056),0.9937 (0.00042),0.9844 (0.00051),0.9694 (0.00162),0.9694 (0.00160),0.9702 (0.00097),0.9686 (0.00244),0.9387 (0.00324),0.9692 (0.00099),0.9691 (0.00101),0.9677 (0.00195),0.9706 (0.00133),0.9384 (0.00198)
n_estimators500 max_depth10 min_samples_leaf5 min_samples_split2 bootstrapTrue,0.9855 (0.00056),0.9855 (0.00056),0.9851 (0.00114),0.9860 (0.00099),0.9710 (0.00112),0.9690 (0.00127),0.9690 (0.00126),0.9705 (0.00163),0.9676 (0.00187),0.9380 (0.00253),0.9682 (0.00055),0.9681 (0.00055),0.9671 (0.00157),0.9692 (0.00160),0.9364 (0.00111)
n_estimators500 max_depth10 min_samples_leaf5 min_samples_split3 bootstrapFalse,0.9922 (0.00025),0.9922 (0.00025),0.9907 (0.00056),0.9937 (0.00042),0.9844 (0.00051),0.9694 (0.00162),0.9694 (0.00160),0.9702 (0.00097),0.9686 (0.00244),0.9387 (0.00324),0.9692 (0.00099),0.9691 (0.00101),0.9677 (0.00195),0.9706 (0.00133),0.9384 (0.00198)
n_estimators500 max_depth10 min_samples_leaf5 min_samples_split3 bootstrapTrue,0.9855 (0.00071),0.9855 (0.00072),0.9850 (0.00120),0.9859 (0.00088),0.9710 (0.00143),0.9692 (0.00116),0.9692 (0.00115),0.9705 (0.00130),0.9679 (0.00165),0.9383 (0.00231),0.9683 (0.00056),0.9682 (0.00056),0.9672 (0.00150),0.9693 (0.00142),0.9365 (0.00112)
n_estimators500 max_depth10 min_samples_leaf5 min_samples_split5 bootstrapFalse,0.9922 (0.00025),0.9922 (0.00025),0.9907 (0.00056),0.9937 (0.00042),0.9844 (0.00051),0.9694 (0.00162),0.9694 (0.00160),0.9702 (0.00097),0.9686 (0.00244),0.9387 (0.00324),0.9692 (0.00099),0.9691 (0.00101),0.9677 (0.00195),0.9706 (0.00133),0.9384 (0.00198)
n_estimators500 max_depth10 min_samples_leaf5 min_samples_split5 bootstrapTrue,0.9856 (0.00069),0.9856 (0.00069),0.9851 (0.00123),0.9861 (0.00100),0.9713 (0.00138),0.9690 (0.00122),0.9690 (0.00121),0.9704 (0.00142),0.9676 (0.00180),0.9380 (0.00245),0.9681 (0.00042),0.9680 (0.00042),0.9671 (0.00164),0.9690 (0.00153),0.9361 (0.00084)
n_estimators500 max_depth5 min_samples_leaf1 min_samples_split2 bootstrapFalse,0.9711 (0.00049),0.9710 (0.00051),0.9662 (0.00101),0.9758 (0.00013),0.9423 (0.00097),0.9635 (0.00014),0.9634 (0.00019),0.9602 (0.00141),0.9666 (0.00105),0.9270 (0.00026),0.9618 (0.00074),0.9615 (0.00074),0.9545 (0.00092),0.9687 (0.00123),0.9237 (0.00149)
n_estimators500 max_depth5 min_samples_leaf1 min_samples_split2 bootstrapTrue,0.9708 (0.00070),0.9707 (0.00070),0.9660 (0.00078),0.9754 (0.00085),0.9417 (0.00139),0.9642 (0.00068),0.9640 (0.00070),0.9611 (0.00152),0.9670 (0.00102),0.9283 (0.00136),0.9627 (0.00116),0.9624 (0.00116),0.9557 (0.00147),0.9693 (0.00148),0.9255 (0.00231)
n_estimators500 max_depth5 min_samples_leaf1 min_samples_split3 bootstrapFalse,0.9713 (0.00058),0.9711 (0.00060),0.9662 (0.00120),0.9761 (0.00013),0.9426 (0.00114),0.9636 (0.00024),0.9635 (0.00028),0.9600 (0.00129),0.9669 (0.00078),0.9272 (0.00047),0.9618 (0.00067),0.9615 (0.00066),0.9544 (0.00073),0.9687 (0.00118),0.9236 (0.00135)
n_estimators500 max_depth5 min_samples_leaf1 min_samples_split3 bootstrapTrue,0.9709 (0.00066),0.9708 (0.00067),0.9662 (0.00098),0.9755 (0.00061),0.9419 (0.00132),0.9642 (0.00076),0.9641 (0.00077),0.9613 (0.00152),0.9669 (0.00135),0.9284 (0.00153),0.9625 (0.00110),0.9623 (0.00111),0.9556 (0.00156),0.9691 (0.00151),0.9252 (0.00221)
n_estimators500 max_depth5 min_samples_leaf1 min_samples_split5 bootstrapFalse,0.9707 (0.00051),0.9706 (0.00052),0.9657 (0.00088),0.9755 (0.00016),0.9415 (0.00101),0.9638 (0.00051),0.9637 (0.00055),0.9604 (0.00171),0.9670 (0.00077),0.9276 (0.00100),0.9616 (0.00090),0.9613 (0.00089),0.9544 (0.00088),0.9684 (0.00146),0.9233 (0.00181)
n_estimators500 max_depth5 min_samples_leaf1 min_samples_split5 bootstrapTrue,0.9709 (0.00065),0.9708 (0.00066),0.9661 (0.00094),0.9755 (0.00072),0.9418 (0.00130),0.9640 (0.00074),0.9639 (0.00077),0.9610 (0.00168),0.9668 (0.00097),0.9280 (0.00147),0.9627 (0.00086),0.9624 (0.00087),0.9558 (0.00138),0.9691 (0.00126),0.9255 (0.00171)
n_estimators500 max_depth5 min_samples_leaf2 min_samples_split2 bootstrapFalse,0.9710 (0.00046),0.9709 (0.00047),0.9658 (0.00078),0.9760 (0.00028),0.9421 (0.00092),0.9633 (0.00042),0.9632 (0.00046),0.9600 (0.00176),0.9664 (0.00120),0.9266 (0.00083),0.9617 (0.00062),0.9614 (0.00062),0.9543 (0.00078),0.9687 (0.00117),0.9235 (0.00126)
n_estimators500 max_depth5 min_samples_leaf2 min_samples_split2 bootstrapTrue,0.9707 (0.00058),0.9705 (0.00058),0.9658 (0.00079),0.9753 (0.00074),0.9414 (0.00115),0.9641 (0.00064),0.9640 (0.00066),0.9609 (0.00159),0.9670 (0.00110),0.9282 (0.00128),0.9627 (0.00110),0.9625 (0.00111),0.9556 (0.00163),0.9694 (0.00143),0.9256 (0.00220)
n_estimators500 max_depth5 min_samples_leaf2 min_samples_split3 bootstrapFalse,0.9710 (0.00046),0.9709 (0.00047),0.9658 (0.00078),0.9760 (0.00028),0.9421 (0.00092),0.9633 (0.00042),0.9632 (0.00046),0.9600 (0.00176),0.9664 (0.00120),0.9266 (0.00083),0.9617 (0.00062),0.9614 (0.00062),0.9543 (0.00078),0.9687 (0.00117),0.9235 (0.00126)
n_estimators500 max_depth5 min_samples_leaf2 min_samples_split3 bootstrapTrue,0.9707 (0.00065),0.9705 (0.00065),0.9658 (0.00071),0.9753 (0.00085),0.9414 (0.00131),0.9640 (0.00072),0.9639 (0.00073),0.9611 (0.00142),0.9668 (0.00119),0.9281 (0.00143),0.9627 (0.00104),0.9624 (0.00106),0.9557 (0.00163),0.9693 (0.00128),0.9255 (0.00207)
n_estimators500 max_depth5 min_samples_leaf2 min_samples_split5 bootstrapFalse,0.9710 (0.00058),0.9709 (0.00058),0.9661 (0.00078),0.9757 (0.00039),0.9421 (0.00115),0.9634 (0.00056),0.9633 (0.00059),0.9600 (0.00176),0.9666 (0.00115),0.9268 (0.00112),0.9618 (0.00077),0.9615 (0.00077),0.9546 (0.00120),0.9685 (0.00148),0.9236 (0.00155)
n_estimators500 max_depth5 min_samples_leaf2 min_samples_split5 bootstrapTrue,0.9706 (0.00077),0.9705 (0.00077),0.9656 (0.00093),0.9753 (0.00080),0.9413 (0.00154),0.9641 (0.00062),0.9640 (0.00063),0.9611 (0.00130),0.9669 (0.00103),0.9283 (0.00124),0.9626 (0.00113),0.9623 (0.00115),0.9557 (0.00189),0.9691 (0.00130),0.9253 (0.00224)
n_estimators500 max_depth5 min_samples_leaf5 min_samples_split2 bootstrapFalse,0.9710 (0.00037),0.9708 (0.00037),0.9662 (0.00014),0.9755 (0.00061),0.9420 (0.00075),0.9634 (0.00078),0.9633 (0.00082),0.9602 (0.00197),0.9664 (0.00091),0.9268 (0.00155),0.9619 (0.00092),0.9616 (0.00093),0.9553 (0.00148),0.9681 (0.00135),0.9238 (0.00184)
n_estimators500 max_depth5 min_samples_leaf5 min_samples_split2 bootstrapTrue,0.9702 (0.00077),0.9700 (0.00078),0.9654 (0.00099),0.9748 (0.00089),0.9404 (0.00154),0.9641 (0.00072),0.9640 (0.00072),0.9611 (0.00144),0.9669 (0.00128),0.9281 (0.00143),0.9626 (0.00102),0.9623 (0.00103),0.9555 (0.00172),0.9692 (0.00153),0.9252 (0.00203)
n_estimators500 max_depth5 min_samples_leaf5 min_samples_split3 bootstrapFalse,0.9710 (0.00037),0.9708 (0.00037),0.9662 (0.00014),0.9755 (0.00061),0.9420 (0.00075),0.9634 (0.00078),0.9633 (0.00082),0.9602 (0.00197),0.9664 (0.00091),0.9268 (0.00155),0.9619 (0.00092),0.9616 (0.00093),0.9553 (0.00148),0.9681 (0.00135),0.9238 (0.00184)
n_estimators500 max_depth5 min_samples_leaf5 min_samples_split3 bootstrapTrue,0.9702 (0.00071),0.9700 (0.00071),0.9654 (0.00086),0.9746 (0.00088),0.9404 (0.00141),0.9640 (0.00053),0.9639 (0.00055),0.9610 (0.00139),0.9668 (0.00092),0.9280 (0.00105),0.9625 (0.00101),0.9623 (0.00103),0.9555 (0.00171),0.9692 (0.00134),0.9252 (0.00201)
n_estimators500 max_depth5 min_samples_leaf5 min_samples_split5 bootstrapFalse,0.9710 (0.00037),0.9708 (0.00037),0.9662 (0.00014),0.9755 (0.00061),0.9420 (0.00075),0.9634 (0.00078),0.9633 (0.00082),0.9602 (0.00197),0.9664 (0.00091),0.9268 (0.00155),0.9619 (0.00092),0.9616 (0.00093),0.9553 (0.00148),0.9681 (0.00135),0.9238 (0.00184)
n_estimators500 max_depth5 min_samples_leaf5 min_samples_split5 bootstrapTrue,0.9701 (0.00073),0.9700 (0.00073),0.9652 (0.00084),0.9748 (0.00104),0.9403 (0.00146),0.9641 (0.00066),0.9640 (0.00067),0.9610 (0.00141),0.9671 (0.00106),0.9283 (0.00131),0.9627 (0.00098),0.9625 (0.00100),0.9558 (0.00149),0.9692 (0.00103),0.9255 (0.00196)
n_estimators500 max_depth8 min_samples_leaf1 min_samples_split2 bootstrapFalse,0.9902 (0.00061),0.9901 (0.00061),0.9861 (0.00101),0.9942 (0.00038),0.9804 (0.00121),0.9692 (0.00078),0.9692 (0.00076),0.9686 (0.00028),0.9697 (0.00137),0.9383 (0.00157),0.9684 (0.00012),0.9683 (0.00012),0.9649 (0.00143),0.9717 (0.00141),0.9368 (0.00025)
n_estimators500 max_depth8 min_samples_leaf1 min_samples_split2 bootstrapTrue,0.9881 (0.00045),0.9880 (0.00045),0.9845 (0.00070),0.9916 (0.00058),0.9762 (0.00089),0.9697 (0.00089),0.9697 (0.00087),0.9692 (0.00080),0.9701 (0.00156),0.9394 (0.00177),0.9679 (0.00050),0.9678 (0.00049),0.9646 (0.00148),0.9711 (0.00163),0.9359 (0.00100)
n_estimators500 max_depth8 min_samples_leaf1 min_samples_split3 bootstrapFalse,0.9901 (0.00031),0.9900 (0.00031),0.9861 (0.00078),0.9940 (0.00024),0.9802 (0.00061),0.9690 (0.00084),0.9690 (0.00084),0.9686 (0.00056),0.9693 (0.00111),0.9379 (0.00169),0.9683 (0.00028),0.9682 (0.00031),0.9650 (0.00147),0.9715 (0.00100),0.9367 (0.00055)
n_estimators500 max_depth8 min_samples_leaf1 min_samples_split3 bootstrapTrue,0.9879 (0.00055),0.9879 (0.00055),0.9846 (0.00090),0.9911 (0.00060),0.9758 (0.00109),0.9694 (0.00086),0.9694 (0.00083),0.9690 (0.00073),0.9698 (0.00172),0.9388 (0.00172),0.9679 (0.00055),0.9678 (0.00054),0.9645 (0.00143),0.9711 (0.00159),0.9358 (0.00109)
n_estimators500 max_depth8 min_samples_leaf1 min_samples_split5 bootstrapFalse,0.9901 (0.00031),0.9901 (0.00031),0.9867 (0.00061),0.9935 (0.00014),0.9802 (0.00061),0.9694 (0.00092),0.9694 (0.00089),0.9696 (0.00049),0.9692 (0.00190),0.9387 (0.00184),0.9684 (0.00031),0.9684 (0.00028),0.9661 (0.00078),0.9706 (0.00123),0.9369 (0.00062)
n_estimators500 max_depth8 min_samples_leaf1 min_samples_split5 bootstrapTrue,0.9870 (0.00057),0.9869 (0.00057),0.9842 (0.00082),0.9897 (0.00091),0.9739 (0.00114),0.9694 (0.00074),0.9694 (0.00072),0.9692 (0.00064),0.9697 (0.00146),0.9389 (0.00149),0.9679 (0.00050),0.9678 (0.00049),0.9647 (0.00136),0.9710 (0.00163),0.9359 (0.00101)
n_estimators500 max_depth8 min_samples_leaf2 min_samples_split2 bootstrapFalse,0.9894 (0.00063),0.9894 (0.00064),0.9860 (0.00084),0.9928 (0.00043),0.9789 (0.00126),0.9688 (0.00056),0.9688 (0.00055),0.9688 (0.00123),0.9688 (0.00149),0.9376 (0.00112),0.9686 (0.00025),0.9685 (0.00023),0.9653 (0.00180),0.9718 (0.00198),0.9373 (0.00052)
n_estimators500 max_depth8 min_samples_leaf2 min_samples_split2 bootstrapTrue,0.9863 (0.00049),0.9862 (0.00049),0.9837 (0.00082),0.9887 (0.00080),0.9726 (0.00099),0.9693 (0.00090),0.9693 (0.00089),0.9691 (0.00096),0.9695 (0.00163),0.9385 (0.00181),0.9677 (0.00055),0.9676 (0.00056),0.9644 (0.00145),0.9709 (0.00126),0.9355 (0.00110)
n_estimators500 max_depth8 min_samples_leaf2 min_samples_split3 bootstrapFalse,0.9894 (0.00063),0.9894 (0.00064),0.9860 (0.00084),0.9928 (0.00043),0.9789 (0.00126),0.9688 (0.00056),0.9688 (0.00055),0.9688 (0.00123),0.9688 (0.00149),0.9376 (0.00112),0.9686 (0.00025),0.9685 (0.00023),0.9653 (0.00180),0.9718 (0.00198),0.9373 (0.00052)
n_estimators500 max_depth8 min_samples_leaf2 min_samples_split3 bootstrapTrue,0.9862 (0.00059),0.9861 (0.00060),0.9837 (0.00089),0.9886 (0.00091),0.9724 (0.00119),0.9694 (0.00080),0.9694 (0.00079),0.9691 (0.00111),0.9697 (0.00148),0.9388 (0.00160),0.9678 (0.00063),0.9677 (0.00063),0.9647 (0.00153),0.9708 (0.00149),0.9357 (0.00125)
n_estimators500 max_depth8 min_samples_leaf2 min_samples_split5 bootstrapFalse,0.9890 (0.00070),0.9890 (0.00071),0.9858 (0.00125),0.9922 (0.00042),0.9781 (0.00140),0.9694 (0.00051),0.9694 (0.00049),0.9692 (0.00028),0.9696 (0.00095),0.9387 (0.00101),0.9685 (0.00053),0.9684 (0.00050),0.9651 (0.00084),0.9718 (0.00165),0.9371 (0.00108)
n_estimators500 max_depth8 min_samples_leaf2 min_samples_split5 bootstrapTrue,0.9859 (0.00057),0.9858 (0.00057),0.9836 (0.00081),0.9881 (0.00096),0.9718 (0.00114),0.9695 (0.00102),0.9695 (0.00101),0.9691 (0.00097),0.9699 (0.00166),0.9390 (0.00205),0.9679 (0.00057),0.9678 (0.00056),0.9649 (0.00171),0.9706 (0.00176),0.9357 (0.00113)
n_estimators500 max_depth8 min_samples_leaf5 min_samples_split2 bootstrapFalse,0.9861 (0.00110),0.9861 (0.00110),0.9840 (0.00120),0.9882 (0.00120),0.9723 (0.00219),0.9691 (0.00092),0.9691 (0.00089),0.9690 (0.00049),0.9692 (0.00190),0.9381 (0.00184),0.9681 (0.00044),0.9680 (0.00041),0.9646 (0.00056),0.9714 (0.00138),0.9362 (0.00089)
n_estimators500 max_depth8 min_samples_leaf5 min_samples_split2 bootstrapTrue,0.9824 (0.00100),0.9824 (0.00100),0.9814 (0.00095),0.9833 (0.00143),0.9647 (0.00201),0.9687 (0.00100),0.9687 (0.00100),0.9686 (0.00114),0.9688 (0.00138),0.9374 (0.00200),0.9675 (0.00061),0.9674 (0.00061),0.9644 (0.00166),0.9703 (0.00165),0.9349 (0.00122)
n_estimators500 max_depth8 min_samples_leaf5 min_samples_split3 bootstrapFalse,0.9861 (0.00110),0.9861 (0.00110),0.9840 (0.00120),0.9882 (0.00120),0.9723 (0.00219),0.9691 (0.00092),0.9691 (0.00089),0.9690 (0.00049),0.9692 (0.00190),0.9381 (0.00184),0.9681 (0.00044),0.9680 (0.00041),0.9646 (0.00056),0.9714 (0.00138),0.9362 (0.00089)
n_estimators500 max_depth8 min_samples_leaf5 min_samples_split3 bootstrapTrue,0.9824 (0.00101),0.9824 (0.00100),0.9813 (0.00116),0.9834 (0.00135),0.9648 (0.00201),0.9687 (0.00102),0.9687 (0.00101),0.9686 (0.00111),0.9689 (0.00156),0.9375 (0.00204),0.9674 (0.00058),0.9673 (0.00059),0.9647 (0.00151),0.9699 (0.00145),0.9348 (0.00117)
n_estimators500 max_depth8 min_samples_leaf5 min_samples_split5 bootstrapFalse,0.9861 (0.00110),0.9861 (0.00110),0.9840 (0.00120),0.9882 (0.00120),0.9723 (0.00219),0.9691 (0.00092),0.9691 (0.00089),0.9690 (0.00049),0.9692 (0.00190),0.9381 (0.00184),0.9681 (0.00044),0.9680 (0.00041),0.9646 (0.00056),0.9714 (0.00138),0.9362 (0.00089)
n_estimators500 max_depth8 min_samples_leaf5 min_samples_split5 bootstrapTrue,0.9824 (0.00103),0.9824 (0.00102),0.9813 (0.00111),0.9835 (0.00145),0.9648 (0.00206),0.9687 (0.00094),0.9687 (0.00093),0.9687 (0.00099),0.9688 (0.00137),0.9375 (0.00188),0.9675 (0.00069),0.9674 (0.00069),0.9649 (0.00157),0.9699 (0.00146),0.9349 (0.00138)
n_estimators50 max_depth10 min_samples_leaf1 min_samples_split2 bootstrapFalse,0.9970 (0.00032),0.9970 (0.00032),0.9955 (0.00049),0.9985 (0.00024),0.9940 (0.00064),0.9699 (0.00073),0.9699 (0.00072),0.9710 (0.00074),0.9688 (0.00109),0.9397 (0.00146),0.9687 (0.00116),0.9687 (0.00115),0.9677 (0.00123),0.9697 (0.00178),0.9375 (0.00232)
n_estimators50 max_depth10 min_samples_leaf1 min_samples_split2 bootstrapTrue,0.9945 (0.00073),0.9945 (0.00074),0.9916 (0.00093),0.9973 (0.00076),0.9890 (0.00146),0.9694 (0.00134),0.9694 (0.00131),0.9700 (0.00174),0.9688 (0.00285),0.9387 (0.00268),0.9682 (0.00097),0.9682 (0.00096),0.9663 (0.00157),0.9701 (0.00183),0.9365 (0.00193)
n_estimators50 max_depth10 min_samples_leaf1 min_samples_split3 bootstrapFalse,0.9971 (0.00007),0.9971 (0.00007),0.9954 (0.00051),0.9988 (0.00064),0.9942 (0.00014),0.9695 (0.00037),0.9695 (0.00037),0.9708 (0.00169),0.9683 (0.00160),0.9390 (0.00075),0.9682 (0.00058),0.9681 (0.00058),0.9664 (0.00074),0.9699 (0.00061),0.9364 (0.00115)
n_estimators50 max_depth10 min_samples_leaf1 min_samples_split3 bootstrapTrue,0.9942 (0.00062),0.9942 (0.00062),0.9914 (0.00108),0.9969 (0.00060),0.9884 (0.00123),0.9698 (0.00137),0.9698 (0.00137),0.9705 (0.00217),0.9690 (0.00242),0.9395 (0.00275),0.9680 (0.00098),0.9680 (0.00098),0.9663 (0.00158),0.9696 (0.00157),0.9360 (0.00196)
n_estimators50 max_depth10 min_samples_leaf1 min_samples_split5 bootstrapFalse,0.9962 (0.00019),0.9962 (0.00018),0.9941 (0.00037),0.9982 (0.00064),0.9924 (0.00037),0.9710 (0.00092),0.9710 (0.00092),0.9708 (0.00129),0.9712 (0.00119),0.9419 (0.00184),0.9691 (0.00032),0.9690 (0.00031),0.9664 (0.00014),0.9717 (0.00060),0.9383 (0.00065)
n_estimators50 max_depth10 min_samples_leaf1 min_samples_split5 bootstrapTrue,0.9929 (0.00087),0.9928 (0.00088),0.9901 (0.00135),0.9956 (0.00082),0.9858 (0.00174),0.9695 (0.00128),0.9695 (0.00125),0.9697 (0.00161),0.9693 (0.00268),0.9390 (0.00255),0.9682 (0.00098),0.9681 (0.00099),0.9663 (0.00171),0.9699 (0.00132),0.9364 (0.00195)
n_estimators50 max_depth10 min_samples_leaf2 min_samples_split2 bootstrapFalse,0.9962 (0.00085),0.9962 (0.00086),0.9943 (0.00088),0.9980 (0.00092),0.9924 (0.00171),0.9709 (0.00037),0.9709 (0.00037),0.9722 (0.00184),0.9697 (0.00183),0.9417 (0.00074),0.9692 (0.00043),0.9691 (0.00044),0.9680 (0.00098),0.9703 (0.00053),0.9383 (0.00085)
n_estimators50 max_depth10 min_samples_leaf2 min_samples_split2 bootstrapTrue,0.9920 (0.00075),0.9920 (0.00075),0.9897 (0.00118),0.9942 (0.00085),0.9840 (0.00149),0.9691 (0.00158),0.9692 (0.00155),0.9707 (0.00169),0.9677 (0.00298),0.9383 (0.00315),0.9682 (0.00096),0.9682 (0.00095),0.9664 (0.00165),0.9700 (0.00202),0.9365 (0.00193)
n_estimators50 max_depth10 min_samples_leaf2 min_samples_split3 bootstrapFalse,0.9962 (0.00085),0.9962 (0.00086),0.9943 (0.00088),0.9980 (0.00092),0.9924 (0.00171),0.9709 (0.00037),0.9709 (0.00037),0.9722 (0.00184),0.9697 (0.00183),0.9417 (0.00074),0.9692 (0.00043),0.9691 (0.00044),0.9680 (0.00098),0.9703 (0.00053),0.9383 (0.00085)
n_estimators50 max_depth10 min_samples_leaf2 min_samples_split3 bootstrapTrue,0.9919 (0.00064),0.9919 (0.00064),0.9895 (0.00120),0.9943 (0.00065),0.9839 (0.00127),0.9691 (0.00137),0.9692 (0.00133),0.9702 (0.00151),0.9681 (0.00268),0.9382 (0.00273),0.9684 (0.00099),0.9683 (0.00099),0.9669 (0.00183),0.9699 (0.00192),0.9368 (0.00198)
