,train_ACC,train_F1,train_Recall,train_Pre,train_MCC,val_ACC,val_F1,val_Recall,val_Pre,val_MCC,test_ACC,test_F1,test_Recall,test_Pre,test_MCC
n_estimators100 max_depth10 min_samples_leaf5 min_samples_split2 bootstrapTrue,0.9776 (0.00071),0.9776 (0.00070),0.9783 (0.00075),0.9768 (0.00109),0.9552 (0.00141),0.9613 (0.00086),0.9615 (0.00082),0.9671 (0.00220),0.9560 (0.00268),0.9226 (0.00170),0.9605 (0.00067),0.9607 (0.00067),0.9654 (0.00129),0.9561 (0.00115),0.9211 (0.00135)
n_estimators100 max_depth10 min_samples_leaf5 min_samples_split3 bootstrapFalse,0.9826 (0.00040),0.9826 (0.00040),0.9814 (0.00070),0.9837 (0.00029),0.9652 (0.00079),0.9618 (0.00038),0.9620 (0.00035),0.9682 (0.00171),0.9559 (0.00183),0.9236 (0.00074),0.9613 (0.00062),0.9615 (0.00062),0.9659 (0.00098),0.9571 (0.00078),0.9227 (0.00124)
n_estimators100 max_depth10 min_samples_leaf5 min_samples_split3 bootstrapTrue,0.9775 (0.00072),0.9775 (0.00071),0.9785 (0.00065),0.9765 (0.00124),0.9550 (0.00144),0.9614 (0.00084),0.9616 (0.00081),0.9675 (0.00225),0.9559 (0.00243),0.9229 (0.00166),0.9606 (0.00054),0.9608 (0.00054),0.9656 (0.00101),0.9561 (0.00098),0.9213 (0.00108)
n_estimators100 max_depth10 min_samples_leaf5 min_samples_split5 bootstrapFalse,0.9826 (0.00040),0.9826 (0.00040),0.9814 (0.00070),0.9837 (0.00029),0.9652 (0.00079),0.9618 (0.00038),0.9620 (0.00035),0.9682 (0.00171),0.9559 (0.00183),0.9236 (0.00074),0.9613 (0.00062),0.9615 (0.00062),0.9659 (0.00098),0.9571 (0.00078),0.9227 (0.00124)
n_estimators100 max_depth10 min_samples_leaf5 min_samples_split5 bootstrapTrue,0.9775 (0.00085),0.9776 (0.00084),0.9785 (0.00075),0.9766 (0.00129),0.9551 (0.00170),0.9616 (0.00091),0.9618 (0.00088),0.9676 (0.00214),0.9561 (0.00236),0.9232 (0.00180),0.9607 (0.00056),0.9608 (0.00056),0.9654 (0.00081),0.9564 (0.00094),0.9213 (0.00112)
n_estimators100 max_depth5 min_samples_leaf1 min_samples_split2 bootstrapFalse,0.9565 (0.00072),0.9565 (0.00076),0.9573 (0.00183),0.9557 (0.00103),0.9129 (0.00145),0.9529 (0.00202),0.9531 (0.00198),0.9567 (0.00157),0.9494 (0.00271),0.9058 (0.00402),0.9507 (0.00080),0.9508 (0.00085),0.9517 (0.00227),0.9498 (0.00134),0.9015 (0.00161)
n_estimators100 max_depth5 min_samples_leaf1 min_samples_split2 bootstrapTrue,0.9560 (0.00086),0.9559 (0.00088),0.9539 (0.00283),0.9579 (0.00240),0.9120 (0.00172),0.9530 (0.00155),0.9531 (0.00147),0.9539 (0.00198),0.9522 (0.00364),0.9060 (0.00310),0.9507 (0.00076),0.9506 (0.00078),0.9486 (0.00260),0.9526 (0.00228),0.9014 (0.00152)
n_estimators100 max_depth5 min_samples_leaf1 min_samples_split3 bootstrapFalse,0.9563 (0.00091),0.9563 (0.00094),0.9571 (0.00164),0.9556 (0.00064),0.9126 (0.00183),0.9526 (0.00209),0.9527 (0.00209),0.9565 (0.00237),0.9490 (0.00227),0.9052 (0.00419),0.9506 (0.00093),0.9507 (0.00097),0.9522 (0.00193),0.9492 (0.00070),0.9012 (0.00187)
n_estimators100 max_depth5 min_samples_leaf1 min_samples_split3 bootstrapTrue,0.9562 (0.00105),0.9561 (0.00103),0.9546 (0.00250),0.9577 (0.00285),0.9124 (0.00210),0.9531 (0.00177),0.9532 (0.00169),0.9541 (0.00233),0.9523 (0.00396),0.9063 (0.00354),0.9510 (0.00064),0.9509 (0.00064),0.9492 (0.00240),0.9526 (0.00233),0.9020 (0.00127)
n_estimators100 max_depth5 min_samples_leaf1 min_samples_split5 bootstrapFalse,0.9565 (0.00086),0.9565 (0.00088),0.9577 (0.00138),0.9554 (0.00052),0.9130 (0.00172),0.9526 (0.00216),0.9528 (0.00213),0.9568 (0.00233),0.9489 (0.00282),0.9053 (0.00431),0.9511 (0.00098),0.9512 (0.00099),0.9526 (0.00133),0.9498 (0.00100),0.9022 (0.00197)
n_estimators100 max_depth5 min_samples_leaf1 min_samples_split5 bootstrapTrue,0.9560 (0.00101),0.9559 (0.00104),0.9543 (0.00266),0.9576 (0.00211),0.9120 (0.00201),0.9529 (0.00181),0.9529 (0.00175),0.9540 (0.00203),0.9519 (0.00350),0.9058 (0.00362),0.9509 (0.00075),0.9509 (0.00077),0.9492 (0.00252),0.9526 (0.00207),0.9019 (0.00149)
n_estimators100 max_depth5 min_samples_leaf2 min_samples_split2 bootstrapFalse,0.9561 (0.00050),0.9561 (0.00056),0.9568 (0.00182),0.9555 (0.00070),0.9122 (0.00101),0.9527 (0.00209),0.9529 (0.00207),0.9566 (0.00171),0.9492 (0.00245),0.9055 (0.00418),0.9507 (0.00057),0.9508 (0.00063),0.9516 (0.00235),0.9500 (0.00152),0.9015 (0.00114)
n_estimators100 max_depth5 min_samples_leaf2 min_samples_split2 bootstrapTrue,0.9560 (0.00114),0.9560 (0.00120),0.9546 (0.00353),0.9574 (0.00239),0.9121 (0.00226),0.9527 (0.00140),0.9527 (0.00132),0.9541 (0.00223),0.9514 (0.00357),0.9054 (0.00279),0.9509 (0.00083),0.9508 (0.00087),0.9493 (0.00312),0.9523 (0.00258),0.9018 (0.00165)
n_estimators100 max_depth5 min_samples_leaf2 min_samples_split3 bootstrapFalse,0.9561 (0.00050),0.9561 (0.00056),0.9568 (0.00182),0.9555 (0.00070),0.9122 (0.00101),0.9527 (0.00209),0.9529 (0.00207),0.9566 (0.00171),0.9492 (0.00245),0.9055 (0.00418),0.9507 (0.00057),0.9508 (0.00063),0.9516 (0.00235),0.9500 (0.00152),0.9015 (0.00114)
n_estimators100 max_depth5 min_samples_leaf2 min_samples_split3 bootstrapTrue,0.9558 (0.00118),0.9557 (0.00123),0.9531 (0.00321),0.9582 (0.00225),0.9116 (0.00235),0.9530 (0.00151),0.9530 (0.00145),0.9530 (0.00237),0.9531 (0.00353),0.9060 (0.00302),0.9506 (0.00086),0.9505 (0.00093),0.9481 (0.00302),0.9529 (0.00206),0.9012 (0.00170)
n_estimators100 max_depth5 min_samples_leaf2 min_samples_split5 bootstrapFalse,0.9562 (0.00076),0.9562 (0.00080),0.9570 (0.00164),0.9554 (0.00005),0.9124 (0.00152),0.9528 (0.00209),0.9530 (0.00205),0.9561 (0.00150),0.9499 (0.00267),0.9057 (0.00417),0.9511 (0.00085),0.9512 (0.00089),0.9522 (0.00211),0.9502 (0.00111),0.9023 (0.00170)
n_estimators100 max_depth5 min_samples_leaf2 min_samples_split5 bootstrapTrue,0.9561 (0.00127),0.9560 (0.00131),0.9542 (0.00287),0.9579 (0.00196),0.9122 (0.00253),0.9528 (0.00151),0.9529 (0.00143),0.9533 (0.00208),0.9524 (0.00358),0.9057 (0.00302),0.9509 (0.00095),0.9508 (0.00102),0.9489 (0.00289),0.9527 (0.00170),0.9018 (0.00187)
n_estimators100 max_depth5 min_samples_leaf5 min_samples_split2 bootstrapFalse,0.9557 (0.00139),0.9558 (0.00147),0.9561 (0.00329),0.9554 (0.00081),0.9115 (0.00278),0.9515 (0.00164),0.9516 (0.00159),0.9543 (0.00140),0.9490 (0.00267),0.9030 (0.00328),0.9503 (0.00073),0.9503 (0.00074),0.9504 (0.00182),0.9502 (0.00168),0.9006 (0.00147)
n_estimators100 max_depth5 min_samples_leaf5 min_samples_split2 bootstrapTrue,0.9558 (0.00119),0.9558 (0.00125),0.9541 (0.00321),0.9574 (0.00183),0.9117 (0.00236),0.9525 (0.00143),0.9525 (0.00138),0.9532 (0.00247),0.9518 (0.00333),0.9050 (0.00286),0.9508 (0.00084),0.9508 (0.00090),0.9493 (0.00301),0.9523 (0.00208),0.9017 (0.00166)
n_estimators100 max_depth5 min_samples_leaf5 min_samples_split3 bootstrapFalse,0.9557 (0.00139),0.9558 (0.00147),0.9561 (0.00329),0.9554 (0.00081),0.9115 (0.00278),0.9515 (0.00164),0.9516 (0.00159),0.9543 (0.00140),0.9490 (0.00267),0.9030 (0.00328),0.9503 (0.00073),0.9503 (0.00074),0.9504 (0.00182),0.9502 (0.00168),0.9006 (0.00147)
n_estimators100 max_depth5 min_samples_leaf5 min_samples_split3 bootstrapTrue,0.9558 (0.00100),0.9558 (0.00103),0.9543 (0.00257),0.9573 (0.00199),0.9117 (0.00199),0.9525 (0.00133),0.9525 (0.00127),0.9535 (0.00207),0.9516 (0.00301),0.9050 (0.00264),0.9510 (0.00084),0.9509 (0.00085),0.9495 (0.00258),0.9523 (0.00231),0.9020 (0.00167)
n_estimators100 max_depth5 min_samples_leaf5 min_samples_split5 bootstrapFalse,0.9557 (0.00139),0.9558 (0.00147),0.9561 (0.00329),0.9554 (0.00081),0.9115 (0.00278),0.9515 (0.00164),0.9516 (0.00159),0.9543 (0.00140),0.9490 (0.00267),0.9030 (0.00328),0.9503 (0.00073),0.9503 (0.00074),0.9504 (0.00182),0.9502 (0.00168),0.9006 (0.00147)
n_estimators100 max_depth5 min_samples_leaf5 min_samples_split5 bootstrapTrue,0.9558 (0.00110),0.9558 (0.00113),0.9543 (0.00268),0.9572 (0.00212),0.9117 (0.00220),0.9523 (0.00165),0.9523 (0.00159),0.9535 (0.00207),0.9512 (0.00319),0.9046 (0.00329),0.9507 (0.00104),0.9506 (0.00107),0.9491 (0.00270),0.9521 (0.00212),0.9014 (0.00208)
n_estimators100 max_depth8 min_samples_leaf1 min_samples_split2 bootstrapFalse,0.9756 (0.00042),0.9756 (0.00043),0.9741 (0.00076),0.9772 (0.00009),0.9513 (0.00083),0.9601 (0.00043),0.9603 (0.00039),0.9652 (0.00280),0.9554 (0.00291),0.9202 (0.00085),0.9589 (0.00035),0.9590 (0.00032),0.9620 (0.00032),0.9561 (0.00092),0.9178 (0.00068)
n_estimators100 max_depth8 min_samples_leaf1 min_samples_split2 bootstrapTrue,0.9734 (0.00098),0.9734 (0.00096),0.9729 (0.00123),0.9739 (0.00193),0.9468 (0.00196),0.9595 (0.00087),0.9597 (0.00086),0.9637 (0.00265),0.9557 (0.00264),0.9190 (0.00174),0.9587 (0.00066),0.9588 (0.00064),0.9618 (0.00114),0.9558 (0.00146),0.9174 (0.00132)
n_estimators100 max_depth8 min_samples_leaf1 min_samples_split3 bootstrapFalse,0.9755 (0.00093),0.9755 (0.00093),0.9744 (0.00107),0.9766 (0.00106),0.9510 (0.00185),0.9598 (0.00063),0.9600 (0.00057),0.9643 (0.00153),0.9558 (0.00229),0.9197 (0.00124),0.9592 (0.00113),0.9593 (0.00113),0.9618 (0.00128),0.9568 (0.00099),0.9184 (0.00226)
n_estimators100 max_depth8 min_samples_leaf1 min_samples_split3 bootstrapTrue,0.9729 (0.00105),0.9729 (0.00104),0.9728 (0.00147),0.9731 (0.00187),0.9459 (0.00210),0.9592 (0.00099),0.9594 (0.00095),0.9639 (0.00196),0.9549 (0.00264),0.9185 (0.00196),0.9587 (0.00067),0.9589 (0.00065),0.9619 (0.00130),0.9558 (0.00157),0.9175 (0.00133)
n_estimators100 max_depth8 min_samples_leaf1 min_samples_split5 bootstrapFalse,0.9754 (0.00063),0.9754 (0.00063),0.9749 (0.00091),0.9759 (0.00069),0.9508 (0.00126),0.9596 (0.00019),0.9598 (0.00013),0.9652 (0.00276),0.9545 (0.00276),0.9192 (0.00035),0.9588 (0.00058),0.9590 (0.00059),0.9623 (0.00095),0.9557 (0.00028),0.9177 (0.00117)
n_estimators100 max_depth8 min_samples_leaf1 min_samples_split5 bootstrapTrue,0.9725 (0.00101),0.9725 (0.00099),0.9725 (0.00111),0.9725 (0.00192),0.9449 (0.00203),0.9595 (0.00123),0.9597 (0.00120),0.9641 (0.00232),0.9554 (0.00288),0.9191 (0.00245),0.9585 (0.00047),0.9586 (0.00046),0.9617 (0.00115),0.9555 (0.00131),0.9170 (0.00093)
n_estimators100 max_depth8 min_samples_leaf2 min_samples_split2 bootstrapFalse,0.9754 (0.00081),0.9753 (0.00079),0.9740 (0.00036),0.9767 (0.00180),0.9507 (0.00163),0.9597 (0.00127),0.9599 (0.00119),0.9627 (0.00190),0.9570 (0.00340),0.9195 (0.00251),0.9587 (0.00042),0.9588 (0.00039),0.9611 (0.00167),0.9565 (0.00190),0.9174 (0.00083)
n_estimators100 max_depth8 min_samples_leaf2 min_samples_split2 bootstrapTrue,0.9723 (0.00100),0.9723 (0.00098),0.9722 (0.00126),0.9724 (0.00186),0.9446 (0.00199),0.9595 (0.00113),0.9597 (0.00109),0.9638 (0.00230),0.9556 (0.00292),0.9191 (0.00224),0.9587 (0.00064),0.9588 (0.00061),0.9620 (0.00136),0.9556 (0.00179),0.9173 (0.00127)
n_estimators100 max_depth8 min_samples_leaf2 min_samples_split3 bootstrapFalse,0.9754 (0.00081),0.9753 (0.00079),0.9740 (0.00036),0.9767 (0.00180),0.9507 (0.00163),0.9597 (0.00127),0.9599 (0.00119),0.9627 (0.00190),0.9570 (0.00340),0.9195 (0.00251),0.9587 (0.00042),0.9588 (0.00039),0.9611 (0.00167),0.9565 (0.00190),0.9174 (0.00083)
n_estimators100 max_depth8 min_samples_leaf2 min_samples_split3 bootstrapTrue,0.9723 (0.00090),0.9723 (0.00088),0.9723 (0.00115),0.9723 (0.00191),0.9446 (0.00180),0.9597 (0.00115),0.9599 (0.00111),0.9640 (0.00258),0.9559 (0.00305),0.9195 (0.00229),0.9587 (0.00062),0.9589 (0.00061),0.9618 (0.00132),0.9559 (0.00148),0.9175 (0.00124)
n_estimators100 max_depth8 min_samples_leaf2 min_samples_split5 bootstrapFalse,0.9754 (0.00013),0.9754 (0.00011),0.9747 (0.00090),0.9760 (0.00104),0.9507 (0.00025),0.9601 (0.00026),0.9603 (0.00036),0.9650 (0.00289),0.9557 (0.00212),0.9203 (0.00056),0.9586 (0.00033),0.9587 (0.00034),0.9615 (0.00097),0.9560 (0.00074),0.9173 (0.00067)
n_estimators100 max_depth8 min_samples_leaf2 min_samples_split5 bootstrapTrue,0.9720 (0.00083),0.9720 (0.00082),0.9724 (0.00115),0.9716 (0.00160),0.9440 (0.00166),0.9594 (0.00071),0.9596 (0.00068),0.9638 (0.00239),0.9553 (0.00259),0.9188 (0.00142),0.9587 (0.00045),0.9588 (0.00043),0.9623 (0.00110),0.9554 (0.00142),0.9173 (0.00090)
n_estimators100 max_depth8 min_samples_leaf5 min_samples_split2 bootstrapFalse,0.9733 (0.00058),0.9733 (0.00058),0.9729 (0.00105),0.9737 (0.00122),0.9466 (0.00116),0.9594 (0.00052),0.9596 (0.00044),0.9637 (0.00163),0.9556 (0.00243),0.9189 (0.00101),0.9583 (0.00071),0.9584 (0.00071),0.9614 (0.00095),0.9555 (0.00096),0.9167 (0.00142)
n_estimators100 max_depth8 min_samples_leaf5 min_samples_split2 bootstrapTrue,0.9702 (0.00096),0.9702 (0.00095),0.9713 (0.00106),0.9692 (0.00170),0.9404 (0.00193),0.9592 (0.00078),0.9594 (0.00074),0.9640 (0.00254),0.9548 (0.00285),0.9184 (0.00155),0.9585 (0.00065),0.9586 (0.00063),0.9619 (0.00105),0.9554 (0.00146),0.9170 (0.00129)
n_estimators100 max_depth8 min_samples_leaf5 min_samples_split3 bootstrapFalse,0.9733 (0.00058),0.9733 (0.00058),0.9729 (0.00105),0.9737 (0.00122),0.9466 (0.00116),0.9594 (0.00052),0.9596 (0.00044),0.9637 (0.00163),0.9556 (0.00243),0.9189 (0.00101),0.9583 (0.00071),0.9584 (0.00071),0.9614 (0.00095),0.9555 (0.00096),0.9167 (0.00142)
n_estimators100 max_depth8 min_samples_leaf5 min_samples_split3 bootstrapTrue,0.9701 (0.00096),0.9701 (0.00096),0.9710 (0.00144),0.9692 (0.00171),0.9402 (0.00193),0.9592 (0.00089),0.9594 (0.00087),0.9639 (0.00260),0.9549 (0.00281),0.9184 (0.00178),0.9585 (0.00062),0.9587 (0.00062),0.9619 (0.00156),0.9555 (0.00138),0.9171 (0.00123)
n_estimators100 max_depth8 min_samples_leaf5 min_samples_split5 bootstrapFalse,0.9733 (0.00058),0.9733 (0.00058),0.9729 (0.00105),0.9737 (0.00122),0.9466 (0.00116),0.9594 (0.00052),0.9596 (0.00044),0.9637 (0.00163),0.9556 (0.00243),0.9189 (0.00101),0.9583 (0.00071),0.9584 (0.00071),0.9614 (0.00095),0.9555 (0.00096),0.9167 (0.00142)
n_estimators100 max_depth8 min_samples_leaf5 min_samples_split5 bootstrapTrue,0.9701 (0.00094),0.9701 (0.00093),0.9712 (0.00114),0.9690 (0.00163),0.9401 (0.00188),0.9593 (0.00086),0.9595 (0.00085),0.9641 (0.00258),0.9549 (0.00253),0.9186 (0.00172),0.9586 (0.00070),0.9587 (0.00069),0.9621 (0.00120),0.9554 (0.00138),0.9172 (0.00141)
n_estimators2000 max_depth10 min_samples_leaf1 min_samples_split2 bootstrapFalse,0.9902 (0.00038),0.9901 (0.00038),0.9863 (0.00062),0.9940 (0.00019),0.9804 (0.00076),0.9640 (0.00052),0.9642 (0.00048),0.9692 (0.00254),0.9593 (0.00280),0.9281 (0.00102),0.9632 (0.00029),0.9634 (0.00028),0.9665 (0.00062),0.9602 (0.00075),0.9265 (0.00057)
n_estimators2000 max_depth10 min_samples_leaf1 min_samples_split2 bootstrapTrue,0.9858 (0.00024),0.9858 (0.00024),0.9830 (0.00030),0.9887 (0.00032),0.9717 (0.00047),0.9627 (0.00047),0.9629 (0.00045),0.9682 (0.00198),0.9578 (0.00216),0.9256 (0.00093),0.9619 (0.00043),0.9620 (0.00043),0.9662 (0.00066),0.9579 (0.00073),0.9238 (0.00086)
n_estimators2000 max_depth10 min_samples_leaf1 min_samples_split3 bootstrapFalse,0.9898 (0.00042),0.9897 (0.00042),0.9862 (0.00075),0.9933 (0.00047),0.9796 (0.00083),0.9639 (0.00033),0.9641 (0.00026),0.9694 (0.00227),0.9589 (0.00259),0.9279 (0.00062),0.9629 (0.00024),0.9630 (0.00026),0.9667 (0.00083),0.9593 (0.00040),0.9258 (0.00048)
n_estimators2000 max_depth10 min_samples_leaf1 min_samples_split3 bootstrapTrue,0.9853 (0.00025),0.9853 (0.00025),0.9828 (0.00031),0.9878 (0.00037),0.9706 (0.00050),0.9628 (0.00044),0.9630 (0.00042),0.9683 (0.00207),0.9578 (0.00214),0.9257 (0.00087),0.9618 (0.00043),0.9620 (0.00042),0.9663 (0.00068),0.9577 (0.00070),0.9237 (0.00085)
n_estimators2000 max_depth10 min_samples_leaf1 min_samples_split5 bootstrapFalse,0.9888 (0.00026),0.9888 (0.00027),0.9854 (0.00062),0.9923 (0.00021),0.9777 (0.00052),0.9642 (0.00040),0.9644 (0.00033),0.9691 (0.00209),0.9597 (0.00256),0.9284 (0.00077),0.9626 (0.00031),0.9628 (0.00031),0.9665 (0.00072),0.9591 (0.00068),0.9253 (0.00062)
n_estimators2000 max_depth10 min_samples_leaf1 min_samples_split5 bootstrapTrue,0.9840 (0.00039),0.9840 (0.00039),0.9824 (0.00024),0.9856 (0.00060),0.9681 (0.00078),0.9628 (0.00045),0.9630 (0.00044),0.9684 (0.00208),0.9576 (0.00212),0.9256 (0.00089),0.9618 (0.00045),0.9620 (0.00045),0.9664 (0.00080),0.9577 (0.00062),0.9237 (0.00090)
n_estimators2000 max_depth10 min_samples_leaf2 min_samples_split2 bootstrapFalse,0.9883 (0.00033),0.9883 (0.00033),0.9852 (0.00044),0.9914 (0.00032),0.9767 (0.00065),0.9641 (0.00026),0.9643 (0.00023),0.9692 (0.00213),0.9595 (0.00221),0.9283 (0.00050),0.9626 (0.00029),0.9628 (0.00030),0.9666 (0.00057),0.9590 (0.00031),0.9253 (0.00058)
n_estimators2000 max_depth10 min_samples_leaf2 min_samples_split2 bootstrapTrue,0.9833 (0.00040),0.9833 (0.00040),0.9821 (0.00025),0.9844 (0.00062),0.9666 (0.00081),0.9627 (0.00045),0.9629 (0.00046),0.9685 (0.00229),0.9573 (0.00208),0.9254 (0.00091),0.9617 (0.00050),0.9619 (0.00050),0.9664 (0.00075),0.9575 (0.00052),0.9235 (0.00100)
n_estimators2000 max_depth10 min_samples_leaf2 min_samples_split3 bootstrapFalse,0.9883 (0.00033),0.9883 (0.00033),0.9852 (0.00044),0.9914 (0.00032),0.9767 (0.00065),0.9641 (0.00026),0.9643 (0.00023),0.9692 (0.00213),0.9595 (0.00221),0.9283 (0.00050),0.9626 (0.00029),0.9628 (0.00030),0.9666 (0.00057),0.9590 (0.00031),0.9253 (0.00058)
n_estimators2000 max_depth10 min_samples_leaf2 min_samples_split3 bootstrapTrue,0.9833 (0.00038),0.9833 (0.00037),0.9821 (0.00034),0.9845 (0.00052),0.9666 (0.00075),0.9628 (0.00036),0.9630 (0.00032),0.9687 (0.00200),0.9574 (0.00220),0.9257 (0.00070),0.9616 (0.00034),0.9618 (0.00034),0.9663 (0.00060),0.9573 (0.00054),0.9233 (0.00068)
n_estimators2000 max_depth10 min_samples_leaf2 min_samples_split5 bootstrapFalse,0.9878 (0.00041),0.9878 (0.00041),0.9852 (0.00038),0.9904 (0.00062),0.9757 (0.00082),0.9642 (0.00033),0.9644 (0.00026),0.9695 (0.00195),0.9594 (0.00232),0.9285 (0.00063),0.9625 (0.00038),0.9627 (0.00040),0.9667 (0.00080),0.9587 (0.00006),0.9251 (0.00077)
n_estimators2000 max_depth10 min_samples_leaf2 min_samples_split5 bootstrapTrue,0.9828 (0.00037),0.9828 (0.00037),0.9818 (0.00032),0.9837 (0.00053),0.9656 (0.00074),0.9627 (0.00030),0.9630 (0.00030),0.9686 (0.00210),0.9574 (0.00197),0.9256 (0.00060),0.9616 (0.00044),0.9618 (0.00045),0.9664 (0.00081),0.9573 (0.00052),0.9233 (0.00089)
n_estimators2000 max_depth10 min_samples_leaf5 min_samples_split2 bootstrapFalse,0.9834 (0.00013),0.9834 (0.00013),0.9823 (0.00029),0.9844 (0.00007),0.9668 (0.00026),0.9631 (0.00040),0.9633 (0.00036),0.9690 (0.00219),0.9577 (0.00243),0.9263 (0.00077),0.9622 (0.00078),0.9623 (0.00079),0.9670 (0.00120),0.9577 (0.00047),0.9244 (0.00157)
n_estimators2000 max_depth10 min_samples_leaf5 min_samples_split2 bootstrapTrue,0.9783 (0.00065),0.9783 (0.00064),0.9795 (0.00045),0.9771 (0.00127),0.9566 (0.00131),0.9623 (0.00041),0.9626 (0.00038),0.9688 (0.00202),0.9565 (0.00219),0.9247 (0.00081),0.9611 (0.00038),0.9613 (0.00039),0.9662 (0.00069),0.9565 (0.00040),0.9223 (0.00077)
n_estimators2000 max_depth10 min_samples_leaf5 min_samples_split3 bootstrapFalse,0.9834 (0.00013),0.9834 (0.00013),0.9823 (0.00029),0.9844 (0.00007),0.9668 (0.00026),0.9631 (0.00040),0.9633 (0.00036),0.9690 (0.00219),0.9577 (0.00243),0.9263 (0.00077),0.9622 (0.00078),0.9623 (0.00079),0.9670 (0.00120),0.9577 (0.00047),0.9244 (0.00157)
n_estimators2000 max_depth10 min_samples_leaf5 min_samples_split3 bootstrapTrue,0.9783 (0.00065),0.9783 (0.00063),0.9796 (0.00046),0.9771 (0.00123),0.9566 (0.00129),0.9622 (0.00039),0.9624 (0.00036),0.9686 (0.00207),0.9563 (0.00219),0.9244 (0.00075),0.9610 (0.00041),0.9612 (0.00042),0.9662 (0.00074),0.9563 (0.00041),0.9221 (0.00083)
n_estimators2000 max_depth10 min_samples_leaf5 min_samples_split5 bootstrapFalse,0.9834 (0.00013),0.9834 (0.00013),0.9823 (0.00029),0.9844 (0.00007),0.9668 (0.00026),0.9631 (0.00040),0.9633 (0.00036),0.9690 (0.00219),0.9577 (0.00243),0.9263 (0.00077),0.9622 (0.00078),0.9623 (0.00079),0.9670 (0.00120),0.9577 (0.00047),0.9244 (0.00157)
n_estimators2000 max_depth10 min_samples_leaf5 min_samples_split5 bootstrapTrue,0.9783 (0.00063),0.9783 (0.00062),0.9795 (0.00048),0.9772 (0.00123),0.9566 (0.00126),0.9622 (0.00039),0.9625 (0.00038),0.9687 (0.00226),0.9564 (0.00213),0.9246 (0.00077),0.9611 (0.00049),0.9613 (0.00049),0.9663 (0.00080),0.9564 (0.00047),0.9223 (0.00097)
n_estimators2000 max_depth5 min_samples_leaf1 min_samples_split2 bootstrapFalse,0.9574 (0.00132),0.9573 (0.00131),0.9563 (0.00207),0.9584 (0.00224),0.9148 (0.00263),0.9533 (0.00150),0.9533 (0.00143),0.9540 (0.00153),0.9526 (0.00309),0.9066 (0.00299),0.9520 (0.00113),0.9519 (0.00110),0.9508 (0.00044),0.9531 (0.00178),0.9040 (0.00226)
n_estimators2000 max_depth5 min_samples_leaf1 min_samples_split2 bootstrapTrue,0.9577 (0.00112),0.9576 (0.00114),0.9561 (0.00206),0.9592 (0.00173),0.9154 (0.00225),0.9540 (0.00093),0.9540 (0.00089),0.9547 (0.00232),0.9534 (0.00281),0.9080 (0.00187),0.9527 (0.00050),0.9527 (0.00048),0.9516 (0.00083),0.9537 (0.00125),0.9054 (0.00101)
n_estimators2000 max_depth5 min_samples_leaf1 min_samples_split3 bootstrapFalse,0.9573 (0.00132),0.9572 (0.00131),0.9561 (0.00195),0.9584 (0.00225),0.9146 (0.00264),0.9534 (0.00135),0.9534 (0.00128),0.9543 (0.00150),0.9526 (0.00308),0.9068 (0.00270),0.9520 (0.00113),0.9519 (0.00110),0.9508 (0.00051),0.9531 (0.00172),0.9040 (0.00226)
n_estimators2000 max_depth5 min_samples_leaf1 min_samples_split3 bootstrapTrue,0.9576 (0.00106),0.9575 (0.00106),0.9560 (0.00186),0.9591 (0.00199),0.9152 (0.00212),0.9541 (0.00105),0.9541 (0.00099),0.9549 (0.00233),0.9534 (0.00311),0.9081 (0.00210),0.9527 (0.00055),0.9526 (0.00052),0.9517 (0.00099),0.9536 (0.00142),0.9053 (0.00109)
n_estimators2000 max_depth5 min_samples_leaf1 min_samples_split5 bootstrapFalse,0.9573 (0.00129),0.9573 (0.00128),0.9561 (0.00195),0.9585 (0.00219),0.9147 (0.00257),0.9535 (0.00145),0.9536 (0.00138),0.9545 (0.00176),0.9527 (0.00320),0.9071 (0.00290),0.9522 (0.00091),0.9521 (0.00087),0.9511 (0.00019),0.9531 (0.00159),0.9043 (0.00182)
n_estimators2000 max_depth5 min_samples_leaf1 min_samples_split5 bootstrapTrue,0.9576 (0.00104),0.9576 (0.00105),0.9560 (0.00210),0.9591 (0.00187),0.9153 (0.00208),0.9540 (0.00094),0.9540 (0.00088),0.9548 (0.00231),0.9533 (0.00300),0.9080 (0.00188),0.9527 (0.00046),0.9527 (0.00043),0.9517 (0.00095),0.9537 (0.00138),0.9055 (0.00093)
n_estimators2000 max_depth5 min_samples_leaf2 min_samples_split2 bootstrapFalse,0.9573 (0.00126),0.9573 (0.00125),0.9563 (0.00202),0.9583 (0.00215),0.9147 (0.00252),0.9534 (0.00147),0.9534 (0.00139),0.9543 (0.00150),0.9526 (0.00331),0.9068 (0.00293),0.9519 (0.00108),0.9518 (0.00104),0.9506 (0.00051),0.9531 (0.00177),0.9038 (0.00216)
n_estimators2000 max_depth5 min_samples_leaf2 min_samples_split2 bootstrapTrue,0.9577 (0.00099),0.9576 (0.00100),0.9562 (0.00195),0.9590 (0.00176),0.9154 (0.00199),0.9542 (0.00104),0.9542 (0.00101),0.9551 (0.00257),0.9533 (0.00295),0.9084 (0.00209),0.9527 (0.00050),0.9527 (0.00047),0.9518 (0.00070),0.9536 (0.00124),0.9055 (0.00099)
