n_estimators100 max_depth10 min_samples_leaf1 min_samples_split3 bootstrapTrue,0.9976 (0.00040),0.9976 (0.00040),0.9956 (0.00062),0.9996 (0.00035),0.9952 (0.00079),0.9803 (0.00253),0.9804 (0.00250),0.9818 (0.00262),0.9789 (0.00411),0.9607 (0.00505),0.9781 (0.00155),0.9782 (0.00155),0.9797 (0.00209),0.9767 (0.00229),0.9563 (0.00311)
n_estimators100 max_depth10 min_samples_leaf1 min_samples_split5 bootstrapFalse,0.9982 (0.00020),0.9982 (0.00020),0.9963 (0.00039),1.0000 (0.00000),0.9963 (0.00039),0.9809 (0.00220),0.9810 (0.00218),0.9829 (0.00237),0.9790 (0.00321),0.9619 (0.00439),0.9795 (0.00058),0.9796 (0.00059),0.9817 (0.00157),0.9775 (0.00093),0.9591 (0.00117)
n_estimators100 max_depth10 min_samples_leaf1 min_samples_split5 bootstrapTrue,0.9970 (0.00054),0.9970 (0.00054),0.9953 (0.00080),0.9987 (0.00058),0.9940 (0.00107),0.9799 (0.00237),0.9799 (0.00236),0.9817 (0.00261),0.9782 (0.00347),0.9598 (0.00475),0.9779 (0.00123),0.9780 (0.00122),0.9801 (0.00183),0.9759 (0.00236),0.9559 (0.00246)
n_estimators100 max_depth10 min_samples_leaf2 min_samples_split2 bootstrapFalse,0.9983 (0.00049),0.9983 (0.00049),0.9968 (0.00068),0.9998 (0.00030),0.9966 (0.00098),0.9821 (0.00259),0.9821 (0.00260),0.9833 (0.00401),0.9809 (0.00236),0.9642 (0.00518),0.9801 (0.00138),0.9802 (0.00139),0.9820 (0.00258),0.9784 (0.00147),0.9603 (0.00277)
n_estimators100 max_depth10 min_samples_leaf2 min_samples_split2 bootstrapTrue,0.9963 (0.00052),0.9963 (0.00052),0.9951 (0.00084),0.9976 (0.00062),0.9927 (0.00105),0.9800 (0.00259),0.9800 (0.00257),0.9816 (0.00288),0.9784 (0.00386),0.9600 (0.00518),0.9775 (0.00153),0.9775 (0.00152),0.9796 (0.00197),0.9755 (0.00248),0.9550 (0.00306)
n_estimators100 max_depth10 min_samples_leaf2 min_samples_split3 bootstrapFalse,0.9983 (0.00049),0.9983 (0.00049),0.9968 (0.00068),0.9998 (0.00030),0.9966 (0.00098),0.9821 (0.00259),0.9821 (0.00260),0.9833 (0.00401),0.9809 (0.00236),0.9642 (0.00518),0.9801 (0.00138),0.9802 (0.00139),0.9820 (0.00258),0.9784 (0.00147),0.9603 (0.00277)
n_estimators100 max_depth10 min_samples_leaf2 min_samples_split3 bootstrapTrue,0.9965 (0.00048),0.9964 (0.00048),0.9952 (0.00078),0.9977 (0.00047),0.9929 (0.00095),0.9803 (0.00234),0.9803 (0.00231),0.9824 (0.00267),0.9782 (0.00383),0.9605 (0.00467),0.9778 (0.00142),0.9779 (0.00141),0.9799 (0.00209),0.9759 (0.00223),0.9557 (0.00283)
n_estimators100 max_depth10 min_samples_leaf2 min_samples_split5 bootstrapFalse,0.9982 (0.00032),0.9982 (0.00033),0.9965 (0.00052),0.9999 (0.00015),0.9964 (0.00065),0.9821 (0.00226),0.9821 (0.00225),0.9833 (0.00255),0.9809 (0.00337),0.9642 (0.00451),0.9803 (0.00194),0.9803 (0.00196),0.9822 (0.00328),0.9785 (0.00177),0.9606 (0.00388)
n_estimators100 max_depth10 min_samples_leaf2 min_samples_split5 bootstrapTrue,0.9960 (0.00051),0.9960 (0.00051),0.9950 (0.00081),0.9971 (0.00051),0.9921 (0.00103),0.9800 (0.00230),0.9800 (0.00228),0.9816 (0.00232),0.9785 (0.00381),0.9600 (0.00461),0.9779 (0.00121),0.9779 (0.00120),0.9798 (0.00170),0.9761 (0.00216),0.9558 (0.00242)
n_estimators100 max_depth10 min_samples_leaf5 min_samples_split2 bootstrapFalse,0.9956 (0.00020),0.9956 (0.00020),0.9950 (0.00015),0.9962 (0.00045),0.9913 (0.00040),0.9802 (0.00156),0.9802 (0.00156),0.9827 (0.00215),0.9778 (0.00191),0.9604 (0.00311),0.9784 (0.00054),0.9784 (0.00051),0.9797 (0.00104),0.9772 (0.00184),0.9568 (0.00107)
